   mpciter       cost    Vdot  Chidot       V     Chi  ay [g] dy [ft]      status_msg    cpuTime
         0       94.1    -0.0     7.0     7.3     0.0    0.00   -0.50      Acceptable        3.2
         1       33.3     0.0     4.1     7.3     2.8    0.00   -0.50      Acceptable        3.6
         2       10.0     0.0     2.1     7.3     4.5    0.00   -0.50      Acceptable        4.1
         3        3.1     0.0     0.7     7.3     5.3    0.00   -0.50      Acceptable        3.0
         4        2.1    -0.0     0.1     7.3     5.6   -0.00   -0.47      Acceptable        3.8
         5        1.9    -0.0     0.1     7.3     5.6   -0.00   -0.40      Acceptable        4.1
         6        1.6    -0.0     0.1     7.3     5.7   -0.00   -0.37      Acceptable        3.0
         7        1.4    -0.0     0.1     7.3     5.7   -0.00   -0.48      Acceptable        3.0
         8        9.0    -0.2     2.0     7.3     5.7   -0.00   -0.50      Acceptable        3.4
         9       28.0    -0.3     3.7     7.3     6.5   -0.00   -0.50        Max Iter        9.1
        10       19.9     0.1     3.2     7.2     8.0    0.00   -0.50      Acceptable        3.7
        11        1.3     0.0     0.1     7.2     9.3    0.00   -0.38        Max Iter        9.2
        12        1.3     0.0     0.0     7.2     9.3    0.00    0.28        Max Iter        9.3
        13       20.6    -0.5    -2.8     7.2     9.3   -0.00    0.50      Acceptable        3.5
        14       69.9    -0.7    -5.5     7.0     8.2   -0.00    0.50      Acceptable        7.4
        15       87.7    -0.5    -6.4     6.8     6.0   -0.00    0.50      Acceptable        4.9
        16       77.6    -0.3    -6.1     6.5     3.4   -0.00    0.50      Acceptable        5.1
        17       55.2    -0.0    -5.1     6.4     1.0    0.00    0.50      Acceptable        2.7
        18       36.6     0.0    -4.1     6.4    -1.1    0.00    0.50      Acceptable        4.9
        19       24.0     0.1    -3.2     6.4    -2.7    0.00    0.50      Acceptable        5.0
        20       15.2     0.1    -2.3     6.5    -4.0    0.00    0.50      Acceptable        4.4
        21        9.5     0.1    -1.6     6.5    -4.9    0.00    0.50      Acceptable        4.6
        22        6.9     0.1    -1.1     6.6    -5.5    0.00    0.50      Acceptable        2.7
